"set","name","position","poise","weight","physical","magic","fire","lightning","bleed","poison","curse","url1","location"
"Thief Set","Black Leather Boots",4,0,3,22,19,13,15,23,31,0,"http://darksoulswiki.wikispaces.com/Thief+Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Bandit Set","Brigand Hood",1,0,1.2,9,8,5,6,8,8,0,"http://darksoulswiki.wikispaces.com/Bandit+Set","http://darksoulswiki.wikispaces.com/Valley+of+Drakes"
"Bandit Set","Brigand Armor",2,0,3.1,23,20,13,17,20,20,0,"http://darksoulswiki.wikispaces.com/Bandit+Set","http://darksoulswiki.wikispaces.com/Valley+of+Drakes"
"Bandit Set","Brigand Gauntlets",3,0,1.8,14,12,8,10,12,12,0,"http://darksoulswiki.wikispaces.com/Bandit+Set","http://darksoulswiki.wikispaces.com/Valley+of+Drakes"
"Bandit Set","Brigand Trousers",4,0,1.8,14,12,8,10,12,12,0,"http://darksoulswiki.wikispaces.com/Bandit+Set","http://darksoulswiki.wikispaces.com/Valley+of+Drakes"
"Hunter Set","Pharis' Hat",1,0,1.2,7,5,7,6,6,5,0,"http://darksoulswiki.wikispaces.com/Hunter+Set","http://darksoulswiki.wikispaces.com/Darkroot+Garden"
"Hunter Set","Leather Armor",2,0,4.7,27,20,27,23,21,20,0,"http://darksoulswiki.wikispaces.com/Hunter+Set","http://darksoulswiki.wikispaces.com/Darkroot+Basin"
"Hunter Set","Leather Gloves",3,0,2.8,16,12,16,13,13,12,0,"http://darksoulswiki.wikispaces.com/Hunter+Set","http://darksoulswiki.wikispaces.com/Darkroot+Basin"
"Hunter Set","Leather Boots",4,0,2.8,16,12,16,13,13,12,0,"http://darksoulswiki.wikispaces.com/Hunter+Set","http://darksoulswiki.wikispaces.com/Darkroot+Basin"
"Sorcerer Set","Sorcerer Hat",1,0,0.9,8,10,5,6,6,5,0,"http://darksoulswiki.wikispaces.com/Sorcerer+Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Sorcerer Set","Sorcerer Cloak",2,0,2.3,20,27,13,17,16,12,0,"http://darksoulswiki.wikispaces.com/Sorcerer+Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Sorcerer Set","Sorcerer Gauntlets",3,0,1.4,12,16,8,10,9,7,0,"http://darksoulswiki.wikispaces.com/Sorcerer+Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Sorcerer Set","Sorcerer Boots",4,0,1.4,12,16,8,10,9,7,0,"http://darksoulswiki.wikispaces.com/Sorcerer+Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Pyromancer Set","Tattered Cloth Hood",1,0,1.1,8,9,12,6,9,23,1,"http://darksoulswiki.wikispaces.com/Pyromancer+Set","http://darksoulswiki.wikispaces.com/Blighttown"
"Pyromancer Set","Tattered Cloth Robe",2,0,2.7,21,23,30,17,23,59,2,"http://darksoulswiki.wikispaces.com/Pyromancer+Set","http://darksoulswiki.wikispaces.com/Blighttown"
"Pyromancer Set","Tattered Cloth Manchette",3,0,1.6,12,14,18,10,14,35,1,"http://darksoulswiki.wikispaces.com/Pyromancer+Set","http://darksoulswiki.wikispaces.com/Blighttown"
"Pyromancer Set","Heavy Boots",4,0,1.6,12,14,18,10,14,35,1,"http://darksoulswiki.wikispaces.com/Pyromancer+Set","http://darksoulswiki.wikispaces.com/Blighttown"
"Cleric Set","Priest's Hat",1,0,1.2,8,9,5,7,9,8,0,"http://darksoulswiki.wikispaces.com/Cleric+Set","http://darksoulswiki.wikispaces.com/The+Catacombs"
"Cleric Set","Holy Robe",2,0,4,22,23,14,19,24,20,0,"http://darksoulswiki.wikispaces.com/Cleric+Set","http://darksoulswiki.wikispaces.com/The+Catacombs"
"Cleric Set","Traveling Gloves",3,0,0.7,5,5,3,4,5,4,0,"http://darksoulswiki.wikispaces.com/Cleric+Set","http://darksoulswiki.wikispaces.com/The+Catacombs"
"Cleric Set","Holy Trousers",4,0,2,14,15,8,12,15,13,0,"http://darksoulswiki.wikispaces.com/Cleric+Set","http://darksoulswiki.wikispaces.com/The+Catacombs"
"Antiquated Set","Crown of Dusk",1,0,0.4,5,11,2,6,5,5,20,"http://darksoulswiki.wikispaces.com/Antiquated+Set","http://darksoulswiki.wikispaces.com/Darkroot+Basin"
"Antiquated Set","Antiquated Dress",2,0,1,14,33,6,19,14,14,26,"http://darksoulswiki.wikispaces.com/Antiquated+Set","http://darksoulswiki.wikispaces.com/Darkroot+Basin"
"Antiquated Set","Antiquated Gloves",3,0,0.6,8,19,3,11,8,8,16,"http://darksoulswiki.wikispaces.com/Antiquated+Set","http://darksoulswiki.wikispaces.com/Darkroot+Basin"
"Antiquated Set","Antiquated Skirt",4,0,3,15,35,17,21,40,40,52,"http://darksoulswiki.wikispaces.com/Antiquated+Set","http://darksoulswiki.wikispaces.com/Darkroot+Basin"
"Big Hat's Set","Big Hat",1,0,3,14,43,7,17,13,13,0,"http://darksoulswiki.wikispaces.com/Big+Hat%27s+Set","http://darksoulswiki.wikispaces.com/The+Duke%27s+Archives"
"Big Hat's Set","Sage Robe",2,0,4,41,28,29,35,49,49,0,"http://darksoulswiki.wikispaces.com/Big+Hat%27s+Set","http://darksoulswiki.wikispaces.com/The+Duke%27s+Archives"
"Big Hat's Set","Traveling Gloves",3,0,0.7,5,5,3,4,5,4,0,"http://darksoulswiki.wikispaces.com/Big+Hat%27s+Set","http://darksoulswiki.wikispaces.com/The+Catacombs"
"Big Hat's Set","Travelling Boots",4,0,1.6,12,16,8,10,14,14,0,"http://darksoulswiki.wikispaces.com/Big+Hat%27s+Set","http://darksoulswiki.wikispaces.com/The+Duke%27s+Archives"
"Black Set","Mask of Velka",1,0,2.5,12,12,10,7,9,9,20,"http://darksoulswiki.wikispaces.com/Black+Set","http://darksoulswiki.wikispaces.com/Painted+World+of+Ariamis"
"Black Set","Black Cleric Robe",2,0,3.9,23,29,25,19,22,22,13,"http://darksoulswiki.wikispaces.com/Black+Set","http://darksoulswiki.wikispaces.com/Painted+World+of+Ariamis"
"Black Set","Black Manchette",3,0,1.8,11,14,11,9,10,10,5,"http://darksoulswiki.wikispaces.com/Black+Set","http://darksoulswiki.wikispaces.com/Painted+World+of+Ariamis"
"Black Set","Black Tights",4,0,2.8,16,22,17,13,15,15,9,"http://darksoulswiki.wikispaces.com/Black+Set","http://darksoulswiki.wikispaces.com/Painted+World+of+Ariamis"
"Black Sorcerer Set","Black Sorcerer Hat",1,0,0.7,5,11,8,8,12,12,2,"http://darksoulswiki.wikispaces.com/Black+Sorcerer+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Black Sorcerer Set","Black Sorcerer Cloak",2,0,1.8,13,28,21,21,31,31,4,"http://darksoulswiki.wikispaces.com/Black+Sorcerer+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Black Sorcerer Set","Black Sorcerer Gauntlets",3,0,1,8,17,12,12,18,18,2,"http://darksoulswiki.wikispaces.com/Black+Sorcerer+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Black Sorcerer Set","Black Sorcerer Boots",4,0,1,8,17,12,12,18,18,2,"http://darksoulswiki.wikispaces.com/Black+Sorcerer+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Chain Set","Chain Helm",1,5,3,12,8,8,3,10,6,0,"http://darksoulswiki.wikispaces.com/Chain+Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Chain Set","Chain Armor",2,9,6,24,16,16,7,20,12,0,"http://darksoulswiki.wikispaces.com/Chain+Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Chain Set","Leather Gauntlets",3,5,3.6,14,10,10,4,12,7,0,"http://darksoulswiki.wikispaces.com/Chain+Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Chain Set","Chain Leggings",4,7,4.6,18,12,12,5,15,9,0,"http://darksoulswiki.wikispaces.com/Chain+Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Crimson Set","Mask of the Sealer",1,0,1.5,12,12,7,9,8,8,8,"http://darksoulswiki.wikispaces.com/Crimson+Set","http://darksoulswiki.wikispaces.com/Blighttown"
"Crimson Set","Crimson Robe",2,0,3.9,32,33,19,24,21,21,21,"http://darksoulswiki.wikispaces.com/Crimson+Set","http://darksoulswiki.wikispaces.com/Blighttown"
"Crimson Set","Crimson Gloves",3,0,0.8,7,7,4,5,4,4,4,"http://darksoulswiki.wikispaces.com/Crimson+Set","http://darksoulswiki.wikispaces.com/Blighttown"
"Crimson Set","Crimson Waistcloth",4,0,3.5,29,29,17,21,19,19,19,"http://darksoulswiki.wikispaces.com/Crimson+Set","http://darksoulswiki.wikispaces.com/Blighttown"
"Dingy Set","Dingy Hood",1,0,0.8,6,8,5,6,9,7,9,"http://darksoulswiki.wikispaces.com/Dingy+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Dingy Set","Dingy Robe",2,0,3,23,33,19,25,35,26,35,"http://darksoulswiki.wikispaces.com/Dingy+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Dingy Set","Dingy Gloves",3,0,1.2,9,13,8,10,14,10,14,"http://darksoulswiki.wikispaces.com/Dingy+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Dingy Set","Blood-Stained Skirt",4,0,2.5,19,27,16,21,29,22,29,"http://darksoulswiki.wikispaces.com/Dingy+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Gold-Hemmed Black Set","Gold-Hemmed Black Hood",1,0,1.4,11,15,22,8,16,36,0,"http://darksoulswiki.wikispaces.com/Gold-Hemmed+Black+Set","http://darksoulswiki.wikispaces.com/Demon+Ruins"
"Gold-Hemmed Black Set","Gold-Hemmed Black Cloak",2,0,3.5,31,38,58,21,40,94,0,"http://darksoulswiki.wikispaces.com/Gold-Hemmed+Black+Set","http://darksoulswiki.wikispaces.com/Demon+Ruins"
"Gold-Hemmed Black Set","Gold-Hemmed Black Gloves",3,0,1.2,12,13,24,8,14,32,0,"http://darksoulswiki.wikispaces.com/Gold-Hemmed+Black+Set","http://darksoulswiki.wikispaces.com/Demon+Ruins"
"Gold-Hemmed Black Set","Gold-Hemmed Black Skirt",4,0,3,23,27,49,17,32,78,0,"http://darksoulswiki.wikispaces.com/Gold-Hemmed+Black+Set","http://darksoulswiki.wikispaces.com/Demon+Ruins"
"Hollow Soldier Set","Hollow Soldier Helm",1,5,3,10,6,7,4,7,5,0,"http://darksoulswiki.wikispaces.com/Hollow+Soldier+Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Hollow Soldier Set","Hollow Soldier Armor",2,12,7.8,26,16,17,10,18,13,0,"http://darksoulswiki.wikispaces.com/Hollow+Soldier+Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Hollow Soldier Set","Hollow Soldier Waistcloth",4,7,1.5,13,8,8,6,7,10,6,"http://darksoulswiki.wikispaces.com/Hollow+Soldier+Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Hollow Thief Set","Hollow Thief Hood",1,0,1.1,8,8,5,7,6,11,0,"http://darksoulswiki.wikispaces.com/Armor#Light%20Armor-Hollow%20Thief%20Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Hollow Thief Set","Hollow Thief Leather Armor",2,0,2.8,21,20,13,18,15,29,0,"http://darksoulswiki.wikispaces.com/Armor#Light%20Armor-Hollow%20Thief%20Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Hollow Thief Set","Hollow Thief Tights",4,0,1.7,12,11,8,10,9,17,0,"http://darksoulswiki.wikispaces.com/Armor#Light%20Armor-Hollow%20Thief%20Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Hollow Warrior Set","Hollow Warrior Helm",1,3,2.6,10,6,5,6,5,5,0,"http://darksoulswiki.wikispaces.com/Hollow+Warrior+Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Hollow Warrior Set","Hollow Warrior Armor",2,8,6.6,24,16,12,17,13,13,0,"http://darksoulswiki.wikispaces.com/Hollow+Warrior+Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Hollow Warrior Set","Hollow Warrior Waistcloth",4,5,1.4,13,8,6,8,6,6,0,"http://darksoulswiki.wikispaces.com/Hollow+Warrior+Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Maiden Set","Maiden Hood",1,0,0.8,7,8,5,6,9,7,3,"http://darksoulswiki.wikispaces.com/Maiden+Set","http://darksoulswiki.wikispaces.com/The+Duke%27s+Archives"
"Maiden Set","Maiden Robe",2,0,2,19,22,13,17,23,18,8,"http://darksoulswiki.wikispaces.com/Maiden+Set","http://darksoulswiki.wikispaces.com/The+Duke%27s+Archives"
"Maiden Set","Maiden Gloves",3,0,1.2,11,13,8,10,14,10,5,"http://darksoulswiki.wikispaces.com/Maiden+Set","http://darksoulswiki.wikispaces.com/The+Duke%27s+Archives"
"Maiden Set","Maiden Skirt",4,0,2.5,23,27,16,21,29,22,10,"http://darksoulswiki.wikispaces.com/Maiden+Set","http://darksoulswiki.wikispaces.com/The+Duke%27s+Archives"
"Moonlight Set","Crown of the Dark Sun",1,0,3,12,12,6,6,9,9,12,"http://darksoulswiki.wikispaces.com/Gwyndolin+Moonlight+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Moonlight Set","Moonlight Robe",2,0,3.1,20,31,17,17,23,23,31,"http://darksoulswiki.wikispaces.com/Gwyndolin+Moonlight+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Moonlight Set","Moonlight Gloves",3,0,0.5,3,5,3,3,4,4,5,"http://darksoulswiki.wikispaces.com/Gwyndolin+Moonlight+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Moonlight Set","Moonlight Waistcloth",4,0,1.8,12,18,10,10,14,14,18,"http://darksoulswiki.wikispaces.com/Gwyndolin+Moonlight+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Painting Guardian Set","Painting Guardian Hood",1,0,0.6,3,31,11,8,12,30,6,"http://darksoulswiki.wikispaces.com/Painting+Guardian+Set","http://darksoulswiki.wikispaces.com/Painted+World+of+Ariamis"
"Painting Guardian Set","Painting Guardian Robe",2,0,1.6,9,34,29,21,32,78,16,"http://darksoulswiki.wikispaces.com/Painting+Guardian+Set","http://darksoulswiki.wikispaces.com/Painted+World+of+Ariamis"
"Painting Guardian Set","Painting Guardian Gloves",3,0,0.9,6,22,17,12,18,46,10,"http://darksoulswiki.wikispaces.com/Painting+Guardian+Set","http://darksoulswiki.wikispaces.com/Painted+World+of+Ariamis"
"Painting Guardian Set","Painting Guardian Waistcloth",4,0,4,22,30,44,42,21,51,10,"http://darksoulswiki.wikispaces.com/Painting+Guardian+Set","http://darksoulswiki.wikispaces.com/Painted+World+of+Ariamis"
"Set of Gwyn","Crown of the Great Lord",1,0,3,16,16,21,21,15,8,20,"http://darksoulswiki.wikispaces.com/Great+Lord+Armor","http://darksoulswiki.wikispaces.com/Kiln+of+the+first+flame"
"Set of Gwyn","Robe of the Great Lord",2,0,6,32,32,41,41,30,15,40,"http://darksoulswiki.wikispaces.com/Great+Lord+Armor","http://darksoulswiki.wikispaces.com/Kiln+of+the+first+flame"
"Set of Gwyn","Bracelet of the Great Lord",3,0,2.8,15,15,19,19,14,7,18,"http://darksoulswiki.wikispaces.com/Great+Lord+Armor","http://darksoulswiki.wikispaces.com/Kiln+of+the+first+flame"
"Set of Gwyn","Anklet of the Great Lord",4,0,2.8,15,15,19,19,14,7,18,"http://darksoulswiki.wikispaces.com/Great+Lord+Armor","http://darksoulswiki.wikispaces.com/Kiln+of+the+first+flame"
"Shadow Set","Shadow Mask",1,0,0.9,9,5,6,6,15,18,0,"http://darksoulswiki.wikispaces.com/Shadow+Set","http://darksoulswiki.wikispaces.com/Blighttown"
"Shadow Set","Shadow Garb",2,0,2.3,23,12,16,17,39,47,0,"http://darksoulswiki.wikispaces.com/Shadow+Set","http://darksoulswiki.wikispaces.com/Blighttown"
"Shadow Set","Shadow Gauntlets",3,0,1.4,13,7,9,10,23,28,0,"http://darksoulswiki.wikispaces.com/Shadow+Set","http://darksoulswiki.wikispaces.com/Blighttown"
"Shadow Set","Shadow Leggings",4,0,1.4,13,7,9,10,23,28,0,"http://darksoulswiki.wikispaces.com/Shadow+Set","http://darksoulswiki.wikispaces.com/Blighttown"
"Witch Set","Witch Hat",1,0,1.1,9,12,6,7,10,10,11,"http://darksoulswiki.wikispaces.com/Witch+Set","http://darksoulswiki.wikispaces.com/New+Londo+Ruins"
"Witch Set","Witch Cloak",2,0,4,33,43,20,26,36,36,12,"http://darksoulswiki.wikispaces.com/Witch+Set","http://darksoulswiki.wikispaces.com/New+Londo+Ruins"
"Witch Set","Witch Gloves",3,0,1.7,14,18,9,11,16,16,6,"http://darksoulswiki.wikispaces.com/Witch+Set","http://darksoulswiki.wikispaces.com/New+Londo+Ruins"
"Witch Set","Witch Skirt",4,0,2.5,20,27,12,17,23,23,8,"http://darksoulswiki.wikispaces.com/Witch+Set","http://darksoulswiki.wikispaces.com/New+Londo+Ruins"
"Adventurer Set","Helm of the Wise",1,8,5.1,18,12,13,10,11,7,18,"http://darksoulswiki.wikispaces.com/Adventurer%27s+Set","http://darksoulswiki.wikispaces.com/Depths"
"Adventurer Set","Armor of the Glorious",2,20,13.3,47,31,34,25,28,19,24,"http://darksoulswiki.wikispaces.com/Adventurer%27s+Set","http://darksoulswiki.wikispaces.com/Depths"
"Adventurer Set","Gauntlets Of The Vanquisher",3,4,3,11,7,7,6,6,5,4,"http://darksoulswiki.wikispaces.com/Adventurer%27s+Set","http://darksoulswiki.wikispaces.com/Depths"
"Adventurer Set","Boots Of The Explorer",4,6,4,14,10,11,7,8,6,5,"http://darksoulswiki.wikispaces.com/Adventurer%27s+Set","http://darksoulswiki.wikispaces.com/Depths"
"Balder Set","Balder Helm",1,6,4.2,14,8,9,6,8,6,0,"http://darksoulswiki.wikispaces.com/Balder+Set","http://darksoulswiki.wikispaces.com/Undead+Parish"
"Balder Set","Balder Armor",2,16,10.9,37,21,25,15,20,13,0,"http://darksoulswiki.wikispaces.com/Balder+Set","http://darksoulswiki.wikispaces.com/Undead+Parish"
"Balder Set","Balder Gauntlets",3,5,3.5,12,7,8,5,6,5,0,"http://darksoulswiki.wikispaces.com/Balder+Set","http://darksoulswiki.wikispaces.com/Undead+Parish"
"Balder Set","Balder Leggings",4,9,6.4,22,12,14,9,14,12,0,"http://darksoulswiki.wikispaces.com/Balder+Set","http://darksoulswiki.wikispaces.com/Undead+Parish"
"Black Iron Set","Black Iron Helm",1,12,6,27,11,19,8,17,10,5,"http://darksoulswiki.wikispaces.com/Black+Iron+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Black Iron Set","Black Iron Armor",2,31,15.6,68,30,51,21,43,25,13,"http://darksoulswiki.wikispaces.com/Black+Iron+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Black Iron Set","Black Iron Gauntlets",3,18,9.2,40,17,30,13,25,14,8,"http://darksoulswiki.wikispaces.com/Black+Iron+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Black Iron Set","Black Iron Leggings",4,18,9.2,40,17,30,13,25,14,8,"http://darksoulswiki.wikispaces.com/Black+Iron+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Black Knight Set","Black Knight Helm",1,8,5,21,11,18,6,12,6,0,"http://darksoulswiki.wikispaces.com/Black+Knight+Set","http://darksoulswiki.wikispaces.com/Kiln+of+the+first+flame"
"Black Knight Set","Black Knight Armor",2,21,13,57,29,48,17,32,15,0,"http://darksoulswiki.wikispaces.com/Black+Knight+Set","http://darksoulswiki.wikispaces.com/Kiln+of+the+first+flame"
"Black Knight Set","Black Knight Gauntlets",3,10,6,26,14,23,8,15,8,0,"http://darksoulswiki.wikispaces.com/Black+Knight+Set","http://darksoulswiki.wikispaces.com/Kiln+of+the+first+flame"
"Black Knight Set","Black Knight Leggings",4,11,7,30,15,26,9,17,9,0,"http://darksoulswiki.wikispaces.com/Black+Knight+Set","http://darksoulswiki.wikispaces.com/Kiln+of+the+first+flame"
"Shiny Brass Set","Brass Helm",1,8,5.1,18,12,11,11,11,9,6,"http://darksoulswiki.wikispaces.com/Brass+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Shiny Brass Set","Brass Armor",2,16,10.9,37,27,25,25,24,20,11,"http://darksoulswiki.wikispaces.com/Brass+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Shiny Brass Set","Brass Gauntlets",3,8,5.4,19,14,12,12,12,10,6,"http://darksoulswiki.wikispaces.com/Brass+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Shiny Brass Set","Brass Leggings",4,9,6.4,23,16,15,15,14,12,7,"http://darksoulswiki.wikispaces.com/Brass+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Catarina Set","Catarina Helm",1,8,4.5,22,12,13,7,13,9,0,"http://darksoulswiki.wikispaces.com/Catarina+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Catarina Set","Catarina Armor",2,21,11.7,57,31,37,19,34,24,0,"http://darksoulswiki.wikispaces.com/Catarina+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Catarina Set","Catarina Gauntlets",3,13,6.9,34,18,21,12,21,13,0,"http://darksoulswiki.wikispaces.com/Catarina+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Catarina Set","Catarina Leggings",4,13,6.9,34,18,21,12,21,13,0,"http://darksoulswiki.wikispaces.com/Catarina+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Crystalline Set","Crystalline Helm",1,6,4.2,25,8,6,2,6,0,0,"http://darksoulswiki.wikispaces.com/Crystalline+Set","http://darksoulswiki.wikispaces.com/The+Duke%27s+Archives"
"Crystalline Set","Crystalline Armor",2,16,10.9,59,21,15,7,15,0,0,"http://darksoulswiki.wikispaces.com/Crystalline+Set","http://darksoulswiki.wikispaces.com/The+Duke%27s+Archives"
"Crystalline Set","Crystalline Gauntlets",3,9,6.4,37,12,9,4,9,0,0,"http://darksoulswiki.wikispaces.com/Crystalline+Set","http://darksoulswiki.wikispaces.com/The+Duke%27s+Archives"
"Crystalline Set","Crystalline Leggings",4,9,6.4,37,12,9,4,9,0,0,"http://darksoulswiki.wikispaces.com/Crystalline+Set","http://darksoulswiki.wikispaces.com/The+Duke%27s+Archives"
"Eastern Set","Eastern Helm",1,8,4.7,17,6,12,7,15,11,0,"http://darksoulswiki.wikispaces.com/Eastern+Set","http://darksoulswiki.wikispaces.com/Darkroot+Garden"
"Eastern Set","Eastern Armor",2,20,12.3,45,15,33,18,38,28,0,"http://darksoulswiki.wikispaces.com/Eastern+Set","http://darksoulswiki.wikispaces.com/Darkroot+Garden"
"Eastern Set","Eastern Gauntlets",3,2,1.5,6,1,4,2,5,4,0,"http://darksoulswiki.wikispaces.com/Eastern+Set","http://darksoulswiki.wikispaces.com/Darkroot+Garden"
"Eastern Set","Eastern Leggings",4,6,4,15,5,11,6,12,10,0,"http://darksoulswiki.wikispaces.com/Eastern+Set","http://darksoulswiki.wikispaces.com/Darkroot+Garden"
"Elite Knight Set","Elite Knight Helm",1,6,4.5,15,7,8,6,9,6,0,"http://darksoulswiki.wikispaces.com/Elite+Knight+Set","http://darksoulswiki.wikispaces.com/Darkroot+Garden"
"Elite Knight Set","Elite Knight Armor",2,15,11.7,39,17,18,15,23,16,0,"http://darksoulswiki.wikispaces.com/Elite+Knight+Set","http://darksoulswiki.wikispaces.com/Darkroot+Garden"
"Elite Knight Set","Elite Knight Gauntlets",3,4,3.7,18,7,8,5,7,5,0,"http://darksoulswiki.wikispaces.com/Elite+Knight+Set","http://darksoulswiki.wikispaces.com/Darkroot+Garden"
"Elite Knight Set","Elite Knight Leggings",4,9,6.9,23,11,11,9,14,9,0,"http://darksoulswiki.wikispaces.com/Elite+Knight+Set","http://darksoulswiki.wikispaces.com/Darkroot+Garden"
"Giant Set","Giant Helm",1,14,6.3,27,13,19,13,13,8,0,"http://darksoulswiki.wikispaces.com/Giant+Armor+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Giant Set","Giant Armor",2,35,16.4,72,32,48,33,32,19,0,"http://darksoulswiki.wikispaces.com/Giant+Armor+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Giant Set","Giant Gauntlets",3,21,9.7,41,19,29,19,19,11,0,"http://darksoulswiki.wikispaces.com/Giant+Armor+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
